币种名称,币种代码,基准金额,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,更新时间,采集时间,银行
欧元,EUR,100.00,804.21,810.66,778.78,810.26,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
英镑,GBP,100.00,955.49,963.16,925.29,962.69,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
港币,HKD,100.00,92.07,92.42,91.29,92.40,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
美元,USD,100.00,719.41,722.15,713.35,722.00,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
瑞士法郎,CHF,100.00,859.62,866.52,832.45,866.09,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
瑞典克朗,SEK,100.00,73.71,74.30,71.38,74.27,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
新台币,TWD,100.00,23.42,24.86,23.42,24.86,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
日元,JPY,100.00,4.94,4.98,4.79,4.98,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
加拿大元,CAD,100.00,514.57,518.70,498.31,518.45,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
澳大利亚元,AUD,100.00,461.63,465.33,447.04,465.10,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
新加坡元,SGD,100.00,553.53,557.97,536.03,557.69,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
新西兰元,NZD,100.00,424.29,427.70,410.88,427.48,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
韩元,KRW,100.00,0.51,0.52,0.50,0.52,2025-05-16 16:56:35,2025-05-16 16:57:49,兴业银行
